baseline_path,authority,coverage,evidence,limits
studies/checkpoint_05/design/INDEPENDENT_REPLICATION_LOCK_BEFORE_RUN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/INDEPENDENT_REPLICATION_LOCK_TIMESTAMP_UTC.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/PAIRED_MEASUREMENT_INTERVENTION_LOCK_BEFORE_RUN.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
studies/checkpoint_05/design/PAIRED_MEASUREMENT_INTERVENTION_LOCK_BEFORE_RUN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/PAIRED_MEASUREMENT_INTERVENTION_LOCK_BEFORE_RUN.timestamp_utc.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/PAIRED_MEASUREMENT_INTERVENTION_LOCK_TIMESTAMP_UTC.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/PRIMARY_SCALING_DESIGN_LOCK_BEFORE_RUN.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
studies/checkpoint_05/design/PRIMARY_SCALING_DESIGN_LOCK_BEFORE_RUN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/PRIMARY_SCALING_DESIGN_LOCK_TIMESTAMP_UTC.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/notes/CLAIM_LEDGER_CHECKPOINT_05.csv,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/notes/METHODS_AND_DEFINITIONS.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_05/notes/RESULTS_AT_A_GLANCE.csv,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/notes/RUN_HISTORY_AND_PROTOCOL_DEVIATIONS.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
studies/checkpoint_05/results/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_05/results/transition_crossover_hinge_fits.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
studies/checkpoint_05/scripts/analyze_boundary_code_decomposition.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/analyze_checkpoint05.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/analyze_finite_size_sensitivity.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/analyze_measurement_location.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/analyze_time_sensitivity.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/analyze_transition_crossover.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/build_symplectic_maps.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/cp04_common.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/run_tableau_scaling.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/stabilizer_tableau.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/scripts/validate_tableau_against_statevector.py,current or supporting,manual source inspection; import/AST scan,SIMULATOR.md; FIGURES23.md; FIGURE4.md; MATHEMATICS.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/figure_design/FIGURE_01_SPEC.md,historical/superseded; no substitution for current estimators,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established; historical artifacts not regenerated as current
studies/figure_design/FIGURE_02_SPEC.md,historical/superseded; no substitution for current estimators,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established; historical artifacts not regenerated as current
studies/figure_design/FIGURE_03_SPEC.md,historical/superseded; no substitution for current estimators,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established; historical artifacts not regenerated as current
studies/figure_design/FIGURE_04_SPEC.md,historical/superseded; no substitution for current estimators,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established; historical artifacts not regenerated as current
studies/figure_design/bootstrap_reference.py,historical/superseded; no substitution for current estimators,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun; historical artifacts not regenerated as current
tests/test_approved_figure4.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_evidence_pipeline.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_figure1_adoption.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_figure1_svg.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_figure1_uncertainty.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_figure_palette.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_identities.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
tests/test_record_bundle.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; original 33-test suite,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
verify.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
